housing_median_age,total_rooms,population,ocean_proximity,AGE,STAR,POPULATION_STATUS
41,880,322,NEAR BAY,ADULT,3-STAR,SMALL
21,7099,2401,NEAR BAY,YOUNG,7-STAR,OVER
52,1467,496,NEAR BAY,OLD,5-STAR,SMALL
52,1274,558,NEAR BAY,OLD,5-STAR,SMALL
52,1627,565,NEAR BAY,OLD,5-STAR,SMALL
52,919,413,NEAR BAY,OLD,3-STAR,SMALL
52,2535,1094,NEAR BAY,OLD,5-STAR,OVER
52,3104,1157,NEAR BAY,OLD,7-STAR,OVER
42,2555,1206,NEAR BAY,ADULT,5-STAR,OVER
52,3549,1551,NEAR BAY,OLD,7-STAR,OVER
52,2202,910,NEAR BAY,OLD,5-STAR,MEDIUM
52,3503,1504,NEAR BAY,OLD,7-STAR,OVER
52,2491,1098,NEAR BAY,OLD,5-STAR,OVER
52,696,345,NEAR BAY,OLD,3-STAR,SMALL
52,2643,1212,NEAR BAY,OLD,5-STAR,OVER
50,1120,697,NEAR BAY,OLD,5-STAR,MEDIUM
52,1966,793,NEAR BAY,OLD,5-STAR,MEDIUM
52,1228,648,NEAR BAY,OLD,5-STAR,MEDIUM
50,2239,990,NEAR BAY,OLD,5-STAR,MEDIUM
52,1503,690,NEAR BAY,OLD,5-STAR,MEDIUM
40,751,409,NEAR BAY,ADULT,3-STAR,SMALL
42,1639,929,NEAR BAY,ADULT,5-STAR,MEDIUM
52,2436,1015,NEAR BAY,OLD,5-STAR,OVER
52,1688,853,NEAR BAY,OLD,5-STAR,MEDIUM
52,2224,1006,NEAR BAY,OLD,5-STAR,OVER
41,535,317,NEAR BAY,ADULT,3-STAR,SMALL
49,1130,607,NEAR BAY,OLD,5-STAR,MEDIUM
52,1898,1102,NEAR BAY,OLD,5-STAR,OVER
50,2082,1131,NEAR BAY,OLD,5-STAR,OVER
52,729,395,NEAR BAY,OLD,3-STAR,SMALL
49,1916,863,NEAR BAY,OLD,5-STAR,MEDIUM
52,2153,1168,NEAR BAY,OLD,5-STAR,OVER
48,1922,1026,NEAR BAY,OLD,5-STAR,OVER
49,1655,754,NEAR BAY,OLD,5-STAR,MEDIUM
51,2665,1258,NEAR BAY,OLD,5-STAR,OVER
49,1215,570,NEAR BAY,OLD,5-STAR,SMALL
48,1798,987,NEAR BAY,OLD,5-STAR,MEDIUM
52,1511,901,NEAR BAY,OLD,5-STAR,MEDIUM
52,1470,689,NEAR BAY,OLD,5-STAR,MEDIUM
52,2432,1377,NEAR BAY,OLD,5-STAR,OVER
52,1665,946,NEAR BAY,OLD,5-STAR,MEDIUM
51,936,517,NEAR BAY,OLD,3-STAR,SMALL
49,713,462,NEAR BAY,OLD,3-STAR,SMALL
52,950,467,NEAR BAY,OLD,3-STAR,SMALL
52,1443,660,NEAR BAY,OLD,5-STAR,MEDIUM
52,1656,718,NEAR BAY,OLD,5-STAR,MEDIUM
50,1125,616,NEAR BAY,OLD,5-STAR,MEDIUM
43,1007,558,NEAR BAY,ADULT,5-STAR,SMALL
40,624,423,NEAR BAY,ADULT,3-STAR,SMALL
40,946,700,NEAR BAY,ADULT,3-STAR,MEDIUM
21,896,735,NEAR BAY,YOUNG,3-STAR,MEDIUM
43,1868,1061,NEAR BAY,ADULT,5-STAR,OVER
41,3221,1959,NEAR BAY,ADULT,7-STAR,OVER
52,1630,1162,NEAR BAY,OLD,5-STAR,OVER
52,1170,701,NEAR BAY,OLD,5-STAR,MEDIUM
52,945,576,NEAR BAY,OLD,3-STAR,SMALL
52,1238,622,NEAR BAY,OLD,5-STAR,MEDIUM
52,1489,728,NEAR BAY,OLD,5-STAR,MEDIUM
52,1387,1074,NEAR BAY,OLD,5-STAR,OVER
2,158,94,NEAR BAY,YOUNG,3-STAR,SMALL
52,1121,554,NEAR BAY,OLD,5-STAR,SMALL
49,135,86,NEAR BAY,OLD,3-STAR,SMALL
50,760,377,NEAR BAY,OLD,3-STAR,SMALL
52,1224,521,NEAR BAY,OLD,5-STAR,SMALL
48,828,392,NEAR BAY,OLD,3-STAR,SMALL
52,1010,604,NEAR BAY,OLD,5-STAR,MEDIUM
48,1455,788,NEAR BAY,OLD,5-STAR,MEDIUM
52,1027,492,NEAR BAY,OLD,5-STAR,SMALL
52,572,274,NEAR BAY,OLD,3-STAR,SMALL
46,2801,1823,NEAR BAY,OLD,5-STAR,OVER
26,768,392,NEAR BAY,ADULT,3-STAR,SMALL
46,935,582,NEAR BAY,OLD,3-STAR,SMALL
49,844,560,NEAR BAY,OLD,3-STAR,SMALL
